index,SKU,BANK_NAME,MTG_PRODUCT_SUBTITLE,MTG_PRODUCT_TYPE_RAW,MTG_PRODUCT_TYPE,MTG_PRODUCT_YEARS,MTG_INITIAL_RATE_PCT,MTG_APR_PCT,MTG_REVERT_RATE,MTG_FEES_TOTAL,MTG_INITIAL_RATE_MONTHS,SCAN_DATE,TID
6490,3735372,Nationwide Building Society,First time buyer,3 year fixed,fixed,25,5.89,6.0,5.74,999.0,36,2022-10-16 06:42:26,489674
6491,3747467,Bank of Ireland UK,First time buyer,5 year fixed,fixed,25,5.89,5.9,5.59,210.0,62,2022-10-16 06:42:26,489675
6492,3745444,NatWest,First time buyer,5 year fixed,fixed,25,5.89,5.5,4.99,30.0,64,2022-10-16 06:42:26,489676
6493,3746219,RBS,First time buyer,5 year fixed,fixed,25,5.89,5.5,4.99,30.0,64,2022-10-16 06:42:26,489677
6494,3744115,Clydesdale Bank,First time buyer,5 year fixed,fixed,25,5.89,6.1,5.99,435.0,62,2022-10-16 06:42:26,489678
6495,3744756,Skipton Building Society,First time buyer,5 year fixed,fixed,25,5.89,5.5,4.89,1110.0,63,2022-10-16 06:42:26,489679
6496,3747777,Leeds Building Society,First time buyer,5 year fixed,fixed,25,5.89,6.2,5.99,1233.0,62,2022-10-16 06:42:26,489680
6497,3748511,Principality Building Society,First time buyer,2 year fixed,fixed,25,5.9,5.4,4.65,968.0,28,2022-10-16 06:42:26,489681
6498,3747488,Coventry Building Society,First time buyer,5 year fixed,fixed,25,5.9,5.5,4.89,8.0,66,2022-10-16 06:42:26,489682
6499,3755050,Virgin Money,First time buyer,10 year fixed,fixed,25,5.9,6.2,5.99,1300.0,123,2022-10-16 06:42:26,489683
6500,3754917,Platform,First time buyer,5 year fixed,fixed,25,5.91,5.9,5.49,1049.0,63,2022-10-16 06:42:26,489684
6501,3754644,Yorkshire Building Society,First time buyer,5 year fixed,fixed,25,5.91,5.9,5.39,1495.0,64,2022-10-16 06:42:26,489685
6502,3747536,Barclays,First time buyer,2 year fixed,fixed,25,5.92,5.9,5.74,115.0,25,2022-10-16 06:42:26,489686
6503,3745448,NatWest,First time buyer,2 year fixed,fixed,25,5.92,5.4,4.99,1025.0,28,2022-10-16 06:42:26,489687
6504,3746223,RBS,First time buyer,2 year fixed,fixed,25,5.92,5.4,4.99,1025.0,28,2022-10-16 06:42:26,489688
6505,3754656,Yorkshire Building Society,First time buyer,5 year fixed,fixed,25,5.93,5.8,5.39,495.0,64,2022-10-16 06:42:26,489689
6506,3735767,Nationwide Building Society,First time buyer,2 year fixed,fixed,25,5.94,6.0,5.74,999.0,24,2022-10-16 06:42:26,489690
6507,3730472,HSBC,First time buyer,2 year fixed,fixed,25,5.94,5.4,5.04,1016.0,29,2022-10-16 06:42:26,489691
6508,3754251,Vida Homeloans,First time buyer,2 year variable,variable,25,5.94,6.6,6.44,1515.0,24,2022-10-16 06:42:26,489692
6509,3742438,Bank of Ireland UK,First time buyer,5 year fixed,fixed,25,5.94,5.9,5.59,210.0,62,2022-10-16 06:42:26,489693
6510,3747537,Barclays,First time buyer,5 year fixed,fixed,25,5.94,6.0,5.74,115.0,61,2022-10-16 06:42:26,489694
